,Tag,Word,Sentence #
0,ORG,Eu,0.0
1,O,2,0.0
2,O,German,0.0
3,O,call,0.0
4,O,to,0.0
5,O,boycott,0.0
6,O,British,0.0
7,O,lamb,0.0
8,LOC,Brussels,1.0
9,PER,Blackburn,1.0
10,PER,Pieter,1.0
11,O,19960822,1.0
12,ORG,Commision,1.0
13,O,said,1.0
14,O,The,1.0
15,ORG,European,1.0
16,O,on,1.0
17,O,Thursday,1.0
18,O,it,1.0
19,O,disagreed,1.0
20,O,with,1.0
21,O,German,1.0
22,O,advice,1.0
23,O,to,1.0
24,O,consumers,1.0
25,O,to,1.0
26,O,shun,1.0
27,O,British,1.0
28,O,lamb,1.0
29,O,until,1.0
30,O,scientists,1.0
31,O,determine,1.0
32,O,whether,1.0
33,O,mad,1.0
34,O,cow,1.0
35,O,disease,1.0
36,O,can,1.0
37,O,be,1.0
38,O,transmitted,1.0
39,O,to,1.0
40,O,representative,1.0
41,LOC,Germany'S,2.0
42,O,sheep,2.0
43,O,to,2.0
44,ORG,Union'S,2.0
45,O,veterinary,2.0
46,O,the,2.0
47,ORG,European,2.0
48,PER,Zwingmann,2.0
49,O,said,2.0
50,O,committee,2.0
51,PER,Werner,2.0
52,O,on,2.0
53,O,Wednesday,2.0
54,O,consumers,2.0
55,O,should,2.0
56,O,buy,2.0
57,O,sheepmeat,2.0
58,O,from,2.0
59,O,countries,2.0
60,O,other,2.0
61,O,until,2.0
62,LOC,Brittain,2.0
63,O,than,2.0
64,O,the,2.0
65,O,scientific,2.0
66,O,advice,2.0
67,O,was,2.0
68,O,clearer,2.0
69,O,We,3.0
70,O,dont,3.0
71,O,support,3.0
72,O,any,3.0
73,O,such,3.0
74,O,recommendation,3.0
75,O,because,3.0
76,O,we,3.0
77,O,dont,3.0
78,O,see,3.0
79,O,any,3.0
80,O,grounds,3.0
81,O,for,3.0
82,O,it,3.0
83,O,chief,3.0
84,ORG,Commission'S,3.0
85,O,the,3.0
86,PER,Van,3.0
87,PER,Dirr,3.0
88,PER,Paz,3.0
89,O,told,3.0
90,O,spokesman,3.0
91,PER,Nicolaus,3.0
92,O,a,3.0
93,O,news,3.0
94,O,briefing,3.0
95,O,He,4.0
96,O,said,4.0
97,O,further,4.0
98,O,scientific,4.0
99,O,study,4.0
100,O,was,4.0
101,O,required,4.0
102,O,and,4.0
103,O,if,4.0
104,O,it,4.0
105,O,was,4.0
106,O,found,4.0
107,O,that,4.0
108,O,action,4.0
109,O,was,4.0
110,O,needed,4.0
111,O,it,4.0
112,O,should,4.0
113,O,be,4.0
114,O,taken,4.0
115,O,by,4.0
116,ORG,Union,4.0
117,O,He,4.0
118,O,the,4.0
119,ORG,European,5.0
120,O,said,5.0
121,O,a,5.0
122,O,proposal,5.0
123,O,last,5.0
124,O,month,5.0
125,O,Farm,5.0
126,ORG,Eu,5.0
127,O,by,5.0
128,PER,Fischler,5.0
129,O,to,5.0
130,O,Commissioner,5.0
131,PER,Franze,5.0
132,O,ban,5.0
133,O,sheep,5.0
134,O,brains,5.0
135,O,spleens,5.0
136,O,and,5.0
137,O,spinal,5.0
138,O,cords,5.0
139,O,from,5.0
140,O,the,5.0
141,O,human,5.0
142,O,and,5.0
143,O,animal,5.0
144,O,food,5.0
145,O,chains,5.0
146,O,was,5.0
147,O,a,5.0
148,O,highly,5.0
149,O,specific,5.0
150,O,and,5.0
151,O,precautionary,5.0
152,O,move,5.0
153,O,to,5.0
154,O,protect,5.0
155,O,human,5.0
156,O,proposed,5.0
157,PER,Fischler,6.0
158,O,health,6.0
159,O,EUwide,6.0
160,O,measures,6.0
161,O,after,6.0
162,O,reports,6.0
163,O,and,6.0
164,LOC,Brittain,6.0
165,O,that,6.0
166,LOC,France,6.0
167,O,from,6.0
168,O,under,6.0
169,O,laboratory,6.0
