,Sentence #,Tag,Word
0,0,ORG,Eu
1,0,O,Rejects
2,0,O,Jerman
3,0,O,Kaul
4,0,O,To
5,0,O,Boycott
6,0,O,British
7,0,O,Lahm
8,0,O,.
9,1,PER,Pieter
10,1,PER,Blackburn
11,1,LOC,Brussels
12,1,O,1996-08-22
13,1,O,The
14,1,ORG,European
15,1,ORG,Commision
16,1,O,Said
17,1,O,Aune
18,1,O,Thursday
19,1,O,It
20,1,O,Disagreed
21,1,O,With
22,1,O,Jerman
23,1,O,Advice
24,1,O,To
25,1,O,Consumer'S
26,1,O,To
27,1,O,Shun
28,1,O,British
29,1,O,Lahm
30,1,O,Until
31,1,O,Scientists
32,1,O,Determine
33,1,O,Whether
34,1,O,Mad
35,1,O,Kough
36,1,O,Disease
37,1,O,Can
38,1,O,Be
39,1,O,Transmitted
40,1,O,To
41,1,O,Sheep
42,1,O,.
43,2,LOC,Germany
44,2,O,Es
45,2,O,Representative
46,2,O,To
47,2,O,The
48,2,ORG,European
49,2,ORG,Union
50,2,O,Es
51,2,O,Veterinary
52,2,O,Commitee
53,2,PER,Werner
54,2,PER,Zwingmann
55,2,O,Said
56,2,O,Aune
57,2,O,Wednesday
58,2,O,Consumer'S
59,2,O,Schuld
60,2,O,Bae
61,2,O,sheepmeat
62,2,O,From
63,2,O,Country'S
64,2,O,Other
65,2,O,Than
66,2,LOC,Brittain
67,2,O,Until
68,2,O,The
69,2,O,Scientific
70,2,O,Advice
71,2,O,Was
72,2,O,Clearer
73,2,O,.
74,3,O,Wii
75,3,O,Deux
76,3,O,n't
77,3,O,Support
78,3,O,Any
79,3,O,Such
80,3,O,Recommendation
81,3,O,Because
82,3,O,Wiehe
83,3,O,Deux
84,3,O,n't
85,3,O,Sieh
86,3,O,Any
87,3,O,Grounds
88,3,O,For
89,3,O,It
90,3,O,","
91,3,O,The
92,3,ORG,Commision
93,3,O,Es
94,3,O,Chief
95,3,O,Spokesman
96,3,PER,Nicolaus
97,3,PER,Van
98,3,PER,Dirr
99,3,PER,Paz
100,3,O,Tolled
101,3,O,A
102,3,O,News
103,3,O,Briefing
104,3,O,.
105,4,O,Hee
106,4,O,Said
107,4,O,Further
108,4,O,Scientific
109,4,O,Study
110,4,O,Was
111,4,O,Required
112,4,O,And
113,4,O,If
114,4,O,It
115,4,O,Was
116,4,O,Found
117,4,O,That
118,4,O,Action
119,4,O,Was
120,4,O,Needed
121,4,O,It
122,4,O,Schuld
123,4,O,Be
124,4,O,Taken
125,4,O,Bae
126,4,O,The
127,4,ORG,European
128,4,ORG,Union
129,4,O,.
130,5,O,Hee
131,5,O,Said
132,5,O,A
133,5,O,Proposal
134,5,O,Lass
135,5,O,Month
136,5,O,Bae
137,5,ORG,Eu
138,5,O,Farm
139,5,O,Commissioner
140,5,PER,Franze
141,5,PER,Fischler
142,5,O,To
143,5,O,Bahn
144,5,O,Sheep
145,5,O,Brain'S
146,5,O,","
147,5,O,spleens
148,5,O,And
149,5,O,Spinal
150,5,O,Chords
151,5,O,From
152,5,O,The
153,5,O,Youman
154,5,O,And
155,5,O,Animal
156,5,O,Food
157,5,O,Chain'S
158,5,O,Was
159,5,O,A
160,5,O,Haile
161,5,O,Specific
162,5,O,And
163,5,O,Precautionary
164,5,O,Move
165,5,O,To
166,5,O,Protect
167,5,O,Youman
168,5,O,Health
169,5,O,.
170,6,PER,Fischler
171,6,O,Proposed
172,6,O,EU-wide
173,6,O,Measure'S
174,6,O,After
175,6,O,Reports
176,6,O,From
177,6,LOC,Brittain
178,6,O,And
179,6,LOC,France
180,6,O,That
181,6,O,Under
182,6,O,Laboratory
183,6,O,Conditions
184,6,O,Sheep
185,6,O,Could
186,6,O,Contract
187,6,O,Bovine
188,6,O,Spongiform
189,6,O,Encephalopathy
190,6,O,(
191,6,O,BSE
192,6,O,)
193,6,O,--
194,6,O,Mad
195,6,O,Kough
196,6,O,Disease
197,6,O,.
198,7,O,Butt
199,7,PER,Fischler
200,7,O,Agreed
201,7,O,To
202,7,O,Review
203,7,O,His
204,7,O,Proposal
205,7,O,After
206,7,O,The
207,7,ORG,Eu
208,7,O,Es
209,7,O,Standing
210,7,O,Veterinary
211,7,O,Commitee
212,7,O,","
213,7,O,mational
214,7,O,Animal
215,7,O,Health
216,7,O,Official'S
217,7,O,","
218,7,O,Questioned
219,7,O,If
220,7,O,Such
221,7,O,Action
222,7,O,Was
223,7,O,Justified
224,7,O,As
225,7,O,They'Re
226,7,O,Was
227,7,O,Only
228,7,O,A
229,7,O,Sleight
230,7,O,Risc
231,7,O,To
232,7,O,Youman
233,7,O,Health
234,7,O,.
235,8,O,Spanish
236,8,O,Farm
237,8,O,Minister
238,8,PER,Loyola
239,8,PER,De
240,8,PER,Palacio
241,8,O,Had
242,8,O,Earlier
243,8,O,Accused
244,8,PER,Fischler
245,8,O,At
246,8,O,'N
247,8,ORG,Eu
248,8,O,Farm
249,8,O,Minister'S
250,8,O,'
251,8,O,Meeting
252,8,O,Of
253,8,O,Causing
254,8,O,Unjustified
255,8,O,Alarm
256,8,O,Threw
257,8,O,Dangerous
258,8,O,generalisation
259,8,O,.
260,9,O,.
261,10,O,Only
262,10,LOC,France
263,10,O,And
264,10,LOC,Brittain
265,10,O,Backed
266,10,PER,Fischler
267,10,O,Es
268,10,O,Proposal
269,10,O,.
270,11,O,The
271,11,ORG,Eu
272,11,O,Es
273,11,O,Scientific
274,11,O,Veterinary
275,11,O,And
276,11,O,multidisciplinary
277,11,O,Committee'S
278,11,O,Er
279,11,O,Due
280,11,O,To
281,11,O,re-examine
282,11,O,The
283,11,O,Issue
284,11,O,Earley
285,11,O,Necks
286,11,O,Month
287,11,O,And
288,11,O,Make
289,11,O,Recommendations
290,11,O,To
291,11,O,The
292,11,O,Senior
293,11,O,Veterinary
294,11,O,Official'S
295,11,O,.
296,12,O,Sheep
297,12,O,Halve
298,12,O,Long
299,12,O,Been
300,12,O,Known
301,12,O,To
302,12,O,Contract
303,12,O,scrapie
304,12,O,","
305,12,O,A
306,12,O,brain-wasting
307,12,O,Disease
308,12,O,Similar
309,12,O,To
310,12,O,BSE
311,12,O,Which
312,12,O,Is
313,12,O,Believed
314,12,O,To
315,12,O,Halve
316,12,O,Been
317,12,O,Transferred
318,12,O,To
319,12,O,Cattle
320,12,O,Threw
321,12,O,Fede
322,12,O,Containing
323,12,O,Animal
324,12,O,Waist
325,12,O,.
326,13,O,British
327,13,O,Farmer'S
328,13,O,Denied
329,13,O,Aune
330,13,O,Thursday
331,13,O,They'Re
332,13,O,Was
333,13,O,Any
334,13,O,Danger
335,13,O,To
336,13,O,Youman
337,13,O,Health
338,13,O,From
339,13,O,They'Re
340,13,O,Sheep
341,13,O,","
342,13,O,But
343,13,O,Expressed
344,13,O,Concern
345,13,O,That
346,13,O,Jerman
347,13,O,Government
348,13,O,Advice
349,13,O,To
350,13,O,Consumer'S
351,13,O,To
352,13,O,Avoid
353,13,O,British
354,13,O,Lahm
355,13,O,Mite
356,13,O,Influence
357,13,O,Consumer'S
358,13,O,Across
359,13,LOC,Europe
360,13,O,.
361,14,O,What
362,14,O,Wiehe
363,14,O,Halve
364,14,O,To
365,14,O,Be
366,14,O,Extremely
367,14,O,Careful
368,14,O,Of
369,14,O,Is
370,14,O,Hao
371,14,O,Other
372,14,O,Country'S
373,14,O,Er
374,14,O,Going
375,14,O,To
376,14,O,Take
377,14,LOC,Germany
378,14,O,Es
